epoch,train_loss,validation_loss
378,0.0716250457,0.0848517326
379,0.0715990424,0.0848212742
380,0.0715730967,0.0847908747
381,0.0715472085,0.0847605340
382,0.0715213776,0.0847302519
383,0.0714956039,0.0847000281
384,0.0714698871,0.0846698624
385,0.0714442272,0.0846397547
386,0.0714186238,0.0846097047
387,0.0713930770,0.0845797122
388,0.0713675864,0.0845497770
389,0.0713421520,0.0845198990
390,0.0713167735,0.0844900779
391,0.0712914509,0.0844603135
392,0.0712661838,0.0844306056
393,0.0712409723,0.0844009540
394,0.0712158160,0.0843713586
395,0.0711907149,0.0843418191
396,0.0711656688,0.0843123353
397,0.0711406775,0.0842829070
398,0.0711157408,0.0842535342
399,0.0710908587,0.0842242164
400,0.0710660309,0.0841949537
401,0.0710412573,0.0841657457
402,0.0710165377,0.0841365923
403,0.0709918721,0.0841074933
404,0.0709672601,0.0840784486
405,0.0709427017,0.0840494579
406,0.0709181968,0.0840205210
407,0.0708937451,0.0839916378
408,0.0708693465,0.0839628081
409,0.0708450009,0.0839340318
410,0.0708207082,0.0839053085
411,0.0707964681,0.0838766382
412,0.0707722805,0.0838480207
413,0.0707481452,0.0838194557
414,0.0707240623,0.0837909432
415,0.0707000313,0.0837624830
416,0.0706760524,0.0837340748
417,0.0706521252,0.0837057185
418,0.0706282497,0.0836774139
419,0.0706044256,0.0836491609
420,0.0705806530,0.0836209593
421,0.0705569315,0.0835928089
422,0.0705332611,0.0835647096
423,0.0705096417,0.0835366611
424,0.0704860731,0.0835086634
425,0.0704625551,0.0834807162
426,0.0704390877,0.0834528194
427,0.0704156706,0.0834249729
428,0.0703923038,0.0833971763
429,0.0703689871,0.0833694297
430,0.0703457204,0.0833417329
431,0.0703225035,0.0833140856
432,0.0702993363,0.0832864877
433,0.0702762187,0.0832589391
434,0.0702531506,0.0832314396
435,0.0702301317,0.0832039890
436,0.0702071620,0.0831765872
437,0.0701842414,0.0831492341
438,0.0701613697,0.0831219294
439,0.0701385467,0.0830946730
440,0.0701157724,0.0830674649
441,0.0700930466,0.0830403047
442,0.0700703693,0.0830131924
443,0.0700477402,0.0829861279
444,0.0700251592,0.0829591109
445,0.0700026262,0.0829321413
446,0.0699801412,0.0829052190
447,0.0699577038,0.0828783438
448,0.0699353142,0.0828515156
449,0.0699129720,0.0828247342
450,0.0698906772,0.0827979995
451,0.0698684297,0.0827713113
452,0.0698462293,0.0827446695
453,0.0698240759,0.0827180740
454,0.0698019695,0.0826915246
455,0.0697799098,0.0826650212
456,0.0697578967,0.0826385636
457,0.0697359302,0.0826121516
458,0.0697140101,0.0825857852
459,0.0696921363,0.0825594642
460,0.0696703086,0.0825331885
461,0.0696485270,0.0825069579
462,0.0696267914,0.0824807723
463,0.0696051015,0.0824546316
464,0.0695834574,0.0824285356
465,0.0695618588,0.0824024841
466,0.0695403057,0.0823764772
467,0.0695187980,0.0823505145
468,0.0694973355,0.0823245960
469,0.0694759181,0.0822987216
470,0.0694545457,0.0822728910
471,0.0694332182,0.0822471043
472,0.0694119355,0.0822213612
473,0.0693906975,0.0821956617
474,0.0693695040,0.0821700055
475,0.0693483549,0.0821443926
476,0.0693272502,0.0821188229
477,0.0693061897,0.0820932961
478,0.0692851733,0.0820678123
479,0.0692642009,0.0820423712
480,0.0692432723,0.0820169727
481,0.0692223876,0.0819916168
482,0.0692015465,0.0819663032
483,0.0691807489,0.0819410319
484,0.0691599948,0.0819158027
485,0.0691392841,0.0818906155
486,0.0691186165,0.0818654702
487,0.0690979921,0.0818403667
488,0.0690774107,0.0818153048
489,0.0690568723,0.0817902844
490,0.0690363766,0.0817653055
491,0.0690159236,0.0817403678
492,0.0689955132,0.0817154713
493,0.0689751453,0.0816906158
494,0.0689548197,0.0816658013
495,0.0689345365,0.0816410275
496,0.0689142954,0.0816162945
497,0.0688940964,0.0815916020
498,0.0688739393,0.0815669500
499,0.0688538241,0.0815423383
500,0.0688337507,0.0815177669
501,0.0688137189,0.0814932356
502,0.0687937286,0.0814687442
503,0.0687737798,0.0814442928
504,0.0687538724,0.0814198811
505,0.0687340062,0.0813955091
506,0.0687141811,0.0813711767
507,0.0686943971,0.0813468836
508,0.0686746541,0.0813226299
509,0.0686549519,0.0812984154
510,0.0686352904,0.0812742400
511,0.0686156696,0.0812501037
512,0.0685960893,0.0812260061
513,0.0685765495,0.0812019474
514,0.0685570500,0.0811779274
515,0.0685375907,0.0811539458
516,0.0685181717,0.0811300028
517,0.0684987927,0.0811060981
518,0.0684794536,0.0810822316
519,0.0684601544,0.0810584033
520,0.0684408950,0.0810346130
521,0.0684216752,0.0810108606
522,0.0684024950,0.0809871460
523,0.0683833543,0.0809634691
524,0.0683642530,0.0809398299
525,0.0683451910,0.0809162281
526,0.0683261681,0.0808926638
527,0.0683071844,0.0808691367
528,0.0682882396,0.0808456469
529,0.0682693338,0.0808221941
530,0.0682504668,0.0807987783
531,0.0682316385,0.0807753995
532,0.0682128488,0.0807520574
533,0.0681940977,0.0807287520
534,0.0681753850,0.0807054832
535,0.0681567107,0.0806822509
536,0.0681380746,0.0806590550
537,0.0681194767,0.0806358954
538,0.0681009169,0.0806127720
539,0.0680823950,0.0805896846
540,0.0680639111,0.0805666333
541,0.0680454649,0.0805436179
542,0.0680270565,0.0805206383
543,0.0680086857,0.0804976944
544,0.0679903524,0.0804747861
545,0.0679720565,0.0804519134
546,0.0679537981,0.0804290761
547,0.0679355768,0.0804062741
548,0.0679173928,0.0803835073
549,0.0678992458,0.0803607757
550,0.0678811358,0.0803380791
551,0.0678630627,0.0803154175
552,0.0678450265,0.0802927907
553,0.0678270269,0.0802701988
554,0.0678090641,0.0802476415
555,0.0677911377,0.0802251188
556,0.0677732479,0.0802026305
557,0.0677553944,0.0801801767
558,0.0677375772,0.0801577572
559,0.0677197962,0.0801353719
560,0.0677020514,0.0801130208
561,0.0676843426,0.0800907037
562,0.0676666697,0.0800684205
563,0.0676490327,0.0800461713
564,0.0676314314,0.0800239558
565,0.0676138659,0.0800017739
566,0.0675963360,0.0799796257
567,0.0675788416,0.0799575110
568,0.0675613826,0.0799354297
569,0.0675439590,0.0799133818
570,0.0675265706,0.0798913671
571,0.0675092175,0.0798693856
572,0.0674918994,0.0798474371
573,0.0674746164,0.0798255217
574,0.0674573683,0.0798036391
575,0.0674401550,0.0797817894
576,0.0674229765,0.0797599724
577,0.0674058327,0.0797381881
578,0.0673887235,0.0797164363
579,0.0673716488,0.0796947170
580,0.0673546086,0.0796730301
581,0.0673376027,0.0796513756
582,0.0673206311,0.0796297533
583,0.0673036937,0.0796081631
584,0.0672867904,0.0795866050
585,0.0672699211,0.0795650789
586,0.0672530858,0.0795435847
587,0.0672362843,0.0795221223
588,0.0672195166,0.0795006917
589,0.0672027827,0.0794792927
590,0.0671860823,0.0794579254
591,0.0671694155,0.0794365895
592,0.0671527822,0.0794152850
593,0.0671361823,0.0793940119
